Sentence_ID,Word,Tag
0,Xin,Outside
0,chào,Outside
0,các,Outside
0,bạn,Outside
0,nữ,Outside
1,Nhân,Outside
1,ngày,Outside
1,8,Outside
1,3,Outside
1,",",Outside
1,mình,Outside
1,chúc,Outside
1,các,Outside
1,bạn,Outside
1,luôn,Outside
1,vui,Outside
1,tươi,Outside
1,",",Outside
1,chúc,Outside
1,cho,Outside
1,thế,Outside
1,giới,Outside
1,này,Outside
1,mãi,Outside
1,xinh,Outside
1,đẹp,Outside
1,như,Outside
1,các,Outside
1,bạn,Outside
2,Tối,Outside
2,nay,Outside
2,",",Outside
2,bạn,Outside
2,nữ,Outside
2,nào,Outside
2,chưa,Outside
2,có,Outside
2,người,Outside
2,yêu,Outside
2,hay,Outside
2,mới,Outside
2,chia,Outside
2,tay,Outside
2,đừng,Outside
2,ngần,Outside
2,ngại,Outside
2,thả,Outside
2,tim,Outside
2,cho,Outside
2,mình,Outside
2,nhé,Outside
3,Hy,Outside
3,vọng,Outside
3,chúng,Outside
3,ta,Outside
3,có,Outside
3,duyên,Outside
3,",",Outside
3,hy,Outside
3,vọng,Outside
3,8,Outside
3,3,Outside
3,năm,Outside
3,sau,Outside
3,thế,Outside
3,giới,Outside
3,bớt,Outside
3,đi,Outside
3,2,Outside
3,người,Outside
3,cô,Outside
3,đơn,Outside
4,P,Outside
4,s,Outside
4,Mình,Outside
4,thuộc,Outside
4,thế,Outside
4,hệ,Outside
4,9X,Outside
4,",",Outside
4,người,Outside
4,Đà,Outside
4,Nẵng,Outside
4,nhé,Outside
5,Yêu,Outside
5,các,Outside
5,bạn,Outside
6,Mọi,Outside
6,người,Outside
6,ơi,Outside
6,",",Outside
6,ai,Outside
6,ở,Outside
6,trọ,Outside
6,mà,Outside
6,sắm,Outside
6,đồ,Outside
6,nội,Outside
6,thất,Outside
6,như,Outside
6,Tủ,BItem
6,lạnh,IItem
6,",",Outside
6,bàn,BItem
6,",",Outside
6,ghế,BItem
6,",",Outside
6,gương,BItem
6,",",Outside
6,thì,Outside
6,cẩn,Outside
6,thận,Outside
6,nha,Outside
6,ạ,Outside
7,Chuyện,Outside
7,là,Outside
7,mới,Outside
7,đây,Outside
7,em,Outside
7,vừa,Outside
7,bị,Outside
7,lừa,Outside
7,cọc,Outside
7,tiền,Outside
7,",",Outside
7,huhu,Outside
8,Em,Outside
8,thấy,Outside
8,nó,Outside
8,đăng,Outside
8,bài,Outside
8,lên,Outside
8,nhóm,Outside
8,đồ,Outside
8,cũ,Outside
8,Đà,Outside
8,Nẵng,Outside
8,",",Outside
8,em,Outside
8,nhắm,Outside
8,trúng,Outside
8,tủ,BItem
8,lạnh,IItem
8,1,Outside
8,cánh,Outside
8,120l,Outside
8,mà,Outside
8,giá,Outside
8,chỉ,Outside
8,800k,Outside
8,còn,Outside
8,rất,Outside
8,mới,Outside
9,Ấy,Outside
9,vậy,Outside
9,là,Outside
9,em,Outside
9,liền,Outside
9,nhắn,BAction
9,tin,IAction
9,để,Outside
9,mua,Outside
9,",",Outside
9,trong,Outside
9,đầu,Outside
9,em,Outside
9,chỉ,Outside
9,nghĩ,Outside
9,là,Outside
9,tủ,BItem
9,mới,Outside
9,như,Outside
9,vậy,Outside
9,chắc,Outside
9,nhiều,Outside
9,người,Outside
9,hỏi,Outside
9,mua,Outside
9,nên,Outside
9,em,Outside
9,liền,Outside
9,cọc,Outside
9,để,Outside
9,giữ,Outside
9,hàng,Outside
9,",",Outside
9,ban,Outside
9,đầu,Outside
9,là,Outside
9,800k,Outside
9,",",Outside
9,em,Outside
9,thương,Outside
9,lượng,Outside
9,xuống,Outside
9,600k,Outside
9,nó,Outside
9,đồng,Outside
9,ý,Outside
9,luôn,Outside
9,lúc,Outside
9,này,Outside
9,em,Outside
9,nghĩ,Outside
9,em,Outside
9,thông,Outside
9,minh,Outside
9,",",Outside
9,xong,Outside
9,nó,Outside
9,bắt,Outside
9,em,Outside
9,cọc,Outside
9,1,Outside
9,2,Outside
9,",",Outside
9,em,Outside
9,lại,Outside
9,thương,Outside
9,lượng,Outside
9,xuống,Outside
9,cọc,Outside
9,100k,Outside
9,vì,Outside
9,còn,Outside
9,là,Outside
9,sinh,Outside
9,viên,Outside
9,và,Outside
9,em,Outside
9,đợi,Outside
9,nó,Outside
9,ship,Outside
9,đồ,Outside
9,đến,Outside
9,nhưng,Outside
9,không,Outside
9,có,Outside
9,gì,Outside
10,Kết,Outside
10,luận,Outside
10,THANH,Outside
10,TOÁN,Outside
10,KHI,Outside
10,NHẬN,Outside
10,HÀNG,Outside
10,nha,Outside
10,cả,Outside
10,nhà,Outside
10,iu,Outside
11,Em,Outside
11,đau,Outside
11,lòng,Outside
11,quá,Outside
11,vì,Outside
11,mình,Outside
11,bị,Outside
11,ngu,Outside
11,học,Outside
11,kinh,Outside
11,tế,Outside
11,mà,Outside
11,ngu,Outside
11,quá,Outside
11,huhu,Outside
11,không,Outside
11,tiếc,Outside
11,tiền,Outside
11,bị,Outside
11,lừa,Outside
11,mà,Outside
11,tiếc,Outside
11,tiền,BItem
11,học,IItem
11,Vi,BSubject
11,mô,ISubject
11,vĩ,BSubject
11,mô,ISubject
11,đồ,Outside
11,đó,Outside
11,",",Outside
11,mọi,Outside
11,người,Outside
11,vào,Outside
11,chửi,Outside
11,em,Outside
11,cho,Outside
11,em,Outside
11,tỉnh,Outside
11,táo,Outside
11,với,Outside
11,",",Outside
11,em,Outside
11,cảm,Outside
11,ơn,Outside
11,mọi,Outside
11,người,Outside
12,Tâm,Outside
12,trạng,Outside
12,của,Outside
12,ai,Outside
12,đó,Outside
12,khi,Outside
12,đã,Outside
12,cố,Outside
12,gắng,Outside
12,dành,Outside
12,tiền,Outside
12,để,Outside
12,mua,Outside
12,quà,Outside
12,tặng,BAction
12,bạn,Outside
12,gái,Outside
12,nhân,Outside
12,ngày,Outside
12,8,Outside
12,3,Outside
12,nhưng,Outside
12,vẫn,Outside
12,bị,Outside
12,cô,Outside
12,ấy,Outside
12,giận,Outside
12,vì,Outside
12,không,Outside
12,tinh,Outside
12,tế,Outside
12,.,Outside
12,.,Outside
12,.,Outside
13,Em,Outside
13,viết,Outside
13,cfs,Outside
13,chỉ,Outside
13,có,Outside
13,một,Outside
13,mong,Outside
13,muốn,Outside
13,nhỏ,Outside
13,xíu,Outside
13,gửi,Outside
13,đến,Outside
13,thầy,Outside
13,cô,Outside
13,khoa,Outside
13,Luật,Outside
13,là,Outside
13,thầy,Outside
13,cô,Outside
13,có,Outside
13,thể,Outside
13,cho,Outside
13,khóa,Outside
13,viết,Outside
13,cfs,Outside
13,chỉ,Outside
13,có,Outside
13,một,Outside
13,mong,Outside
13,muốn,Outside
13,nhỏ,Outside
13,xíu,Outside
13,gửi,Outside
13,đến,Outside
13,thầy,Outside
13,cô,Outside
13,khoa,Outside
13,Luật,Outside
13,là,Outside
13,thầy,Outside
13,cô,Outside
13,viết,Outside
13,cfs,Outside
13,chỉ,Outside
13,có,Outside
13,một,Outside
13,mong,Outside
13,muốn,Outside
13,nhỏ,Outside
13,xíu,Outside
13,gửi,Outside
13,đến,Outside
13,thầy,Outside
13,cô,Outside
13,khoa,Outside
13,Luật,Outside
13,là,Outside
13,thầy,Outside
13,cô,Outside
13,có,Outside
13,thể,Outside
13,cho,Outside
13,khóa,Outside
13,nào,Outside
13,viết,Outside
13,cfs,Outside
13,chê,Outside
13,nào,Outside
13,viết,Outside
13,cfs,Outside
13,chê,Outside
13,đề,BItem
13,dễ,Outside
13,thì,Outside
13,bắt,Outside
13,khóa,Outside
13,đó,Outside
13,thi,BAction
13,vấn,BCurriculum-Components
