content,emoji,comment,current,time,comments_size
"['Đầu xuân mọi việc trôi chảy, cho tới khi lấy xe ']","['Tất cả, 103', 'Thích, 61', 'Haha, 31', 'Buồn, 10', 'Yêu thích, 1']","['Thúy An ai thấy đc cảnh ni', 'Lê Võ Kiều Trang mấy tháng gòi ko vô', 'Vẫn là nơi ấy, bao năm vẫn vậy', 'b nào muốn đặt hoa len tặng tốt nghiệp,8/3 ib sốp nhaaa', 'Tìm xe trong vô vọng:)']",17033,"Thứ Năm, 22 Tháng 2, 2024 lúc 17:31",5
['Đâu có ai thiếu 0.01 mà vui đâu ? '],"['Tất cả, 146', 'Buồn, 77', 'Thích, 42', 'Haha, 26', 'Yêu thích, 1']","['Duy Võ toi cay', 'Tâm Duyên xui thoi', 'Cảm ơn giác thiếu 0,01 với 0,02 nó ….\nmình cx v', 'Vui lắm anh ơi lòng em rộn ràng', 'Nguyễn Tường Vy đừng buồn em ơii', 'Kim Ngân e ko cô đơn à', '', 'Linh Phươngg lên chx', 'Hồ An huhu ai cho thêm chút nữa', 'Yến Vy ếm', 'Trần Việt quen quen', 'Bùi Yến Nhi bạn đã bao h chưa....', 'Tran Thi Thu Trang bạn bùn đó', 'Hương Giang lỡ tay', 'Trúc Linh hix đúng y 3.59', 'Hương Giang kì sau làm lại cuộc đời', 'Trúc Linh ko biết có làm lại đc ko', 'Phượng Nguyễn ôi e tui', 'Lê Thị Bích Vân này mới bùn ne', 'Hạ Quyên Nguyễn chắc ko tới nỗi đó đâu', 'đi học đầy đủ để được 0,01 >_>', 'Trần Thị Kiều Ly chúng mình có nhau']",18073,"Thứ Tư, 21 Tháng 2, 2024 lúc 19:30",22
['Đoàn quân xanh lá ngày xưa vượt đường Trường Sơn \nĐoàn quân xanh lá ngày nay bị kẹt tại chốt thẻ từ  '],"['Tất cả, 359', 'Haha, 268', 'Thích, 84', 'Buồn, 6', 'Thương thương, 1']","['Hồng Giang ôi bạn ơiii', 'Nguyễn Thị Diễm Quỳnh r bạn sẽ giống như toi', 'Hươngg', 'Bùi Yến Nhi bộ đội năm ni lạ', 'cầu thang đông người quá', 'Hoài Thu Lê chúc mừng chiến sĩ', 'Nguyễn Thúy Hằng phải chăng đây là tương lai', 'Các bạn học từ trưa đến giờ còn ổn không ạ:)))', 'Quyết Thắng về r =))) thầy còn định cho overnight kkk', 'Nguyễn Thái Hà trôn trôn']",18999,"Thứ Ba, 20 Tháng 2, 2024 lúc 21:19",10
"['Bỉ ngạn xanh, mê canh quân sự ']","['Tất cả, 154', 'Thích, 78', 'Haha, 68', 'Yêu thích, 4', 'Buồn, 4']","['chọn em', '', 'canh quân sự', 'Cơm quân sự', 'Cơm quân sự :))', 'Duy Lâm phát biểu cảm nghĩ sau 1 tuần nào', 'Bỉ ngạn xanh ăn nhanh k tao ăn hết', 'Nguyễn Huỳnh Phương Vy ahihi', 'Phạm Thảo', 'Trúc Kha phải nhiều dậy cũng đỡ', 'Nguyễn Phan Hoài Thương cơm quân sự :))', 'Phan Thị Hiền Trang t lạy', 'Ngọc Hân bạn ơi sao r', 'Rôn Yuu bạn ơi sút ký ốm liệt rồi đây', 'Ngọc Hân ai bảo tết ko ăn mạnh vào\nlên vài kg vào quân sự giảm cân có hay hơn không', 'Rôn Yuu\nđau họng kh làm ăn được gì bạn không bảo mình sớmm', 'Ngọc Hân\ntội thế cơ á, tưởng đau môi ko làm ăn đc gì chứ, còn thêm đau họng\nông trời ác với bạn tôi quá', 'Rôn Yuu tàn lắm rồi không còn tật gì không có ở toii nữa bạn ạ', 'Ngọc Hân\nkiếm lẹ 1 anh chăm sóc thôi bạn ơi, phải có tình iêu cứu rỗi kkk', 'ad thích húp nước lạnh hả', 'My Hanh ngon mà :))', 'Vy Mai đéo nha má', 'My Hanh đi quân sự về đảm bảo ăn j cx ngon, hết kén ăn', 'Phạm DungPhạm Thùy Trâm cb tâm lí ch', 'Nguyễn Bảoo Ngọcc bỉ ngạn trắng sợ nắng quân sự', 'Nguyễn Bảoo Ngọcc tập ăn rau từ bây giờ', 'Thanh Hiền cb đi']",20114,"Thứ Ba, 20 Tháng 2, 2024 lúc 17:30",27
['Chào mừng đến với ngày hội đề xe và khai bút'],"['Tất cả, 113', 'Haha, 63', 'Thích, 46', 'Buồn, 3', 'Yêu thích, 1']","['Tui khai bút từ mừng 2 rùi, khai bút kẻ mắt', 'Đạp muốn điên =))', 'Cái chân sau khi đề xe không lên', 'Khai bút sớm để cả năm may mắn nhé ae']",20838,"Thứ Hai, 19 Tháng 2, 2024 lúc 14:13",4
['Hình thức bỏ học đi chơi hợp lệ'],"['Tất cả, 233', 'Thích, 120', 'Haha, 106', 'Buồn, 3', 'Yêu thích, 2', 'Thương thương, 1', 'Wow, 1']","['', 'là thuc su bo hoc di choi chua', 'ĐI HỌC QUÂN SỰ\nThực tế là bỏ học theo bầy đàn trong một khoảng thời gian dài, được nhà trường và thầy cô công nhận.']",21702,"Thứ Hai, 19 Tháng 2, 2024 lúc 12:50",3
"['TỔNG KẾT TẾT', '0:13 / 0:41']","['Tất cả, 10285', 'Haha, 5K', 'Thích, 4,9K', 'Buồn, 196', 'Yêu thích, 107', 'Wow, 13', 'Thương thương, 11', 'Phẫn nộ, 1']","['Bố mình vừa làm 1 đĩa bânh chưng rán to vc...', 'Bùi Cẩm Tú', 'Y chang', 'Nguyễn Ánh', 'Thanh Hương =))', 'Won Myeong Joo', 'mình t kh đc ăn bánh chưng hhuhu', 'Êy Yến Vi', 'Bảo Trâm khổ thân tôi', 'vừa ăn xong =))', 'Linh Giang kkk', 'Linh Anh t có đc ăn miếng nào đâu\nQuên chả mang xg cái nao', 'them banh chung qua', 'Lin Vy', 'Ph Pháp hết nhanh ghê', 'Oanh Đinh giống bà quá he', 'Yến Nhi chưa mang nguyên cái tủ lạnh đi là may', 'Nguyễn Hạnh', 'Ng Phuc sợ kkk', 'Cx ngon...ngon hình thức :))', 'Tran Quang Huy', 'Thái T Thuỷ Tiên', 'Nga Đồng', 'Lê Quỳnh Phương Mai chưa hết Tết đâu, còn bánh là còn Tết', 'tui ăn bánh chưng bánh tét mấy tuần r khum thấy ngán', 'Y chang lun . Huhu nhớ quê qué', 'banh chung ngon ma D:', 'Tường Vi', 'tao ăn bánh trưng rán không ngán', 'Từ tết đến bh t chưa ăn miếng bánh chưng nào', 'Kiều Thu =))', 'Thu Huyền', 'Kieuu Thiee kh phại đâu mà', 'Huỳnh Ngọc Như Ý..:))', 'My Ngọc cũng giống ha:)))', 'Lý Minh Hiểnn bánh trưng dán', 'Thank Ha', 'y chang tr', 'Nhà t vẫn còn nì', 'Chịu đếy:))))', 'Phương Linh', 'thèm bánh trưng rán', 'Nhân Nguyễn', 'Không nha ngày cuối t như bị liệt chỉ muốn đi chơi chứ ko muốn làm gì', 'Sắp tết nguyên tiêu r nhỉ', 'Nguyễn Thị Mỹ Linh', 'Đạt Nguyễn đúm đúm', 'Bảo Trang bén chưng rán', 'Trần Tươi khổ thân chị', 'Nguyễn Toon m đâu', 'Minh Hiệp Rô Bớt cc', 'Chien Nguen\nbánh tét', 'Hanhh My t tăng cân nx rồi m a', 'Ngon vl', 'Doflamingo Donquixote Ngáp cái hết tết lại phr xách c ik hc', 'Kim Ngân bọn mk đeo dc an bánh trưng lm. Chết me thk long ngồi ăn còn cười vs mk nx', 'Lỗ khiếp sợ ở tết', 'Xem thêm 47 bình luận', '50/75', 't bánh tét còn ko có ăn', 'Quang Lộc', 'Nờ Hờ Thg l']",22610,"Chủ Nhật, 18 Tháng 2, 2024 lúc 19:41",62
[],[],[],23462,
['Mới ngủ mấy giấc thui mà '],"['Tất cả, 206', 'Thích, 93', 'Buồn, 86', 'Haha, 25', 'Thương thương, 2']","['Nghe mêtq', 'Thanh Hải nhớ cô Đinh Bảo Trân', 'Nguyễn Hồng Thắm cô ko nhớ Hải', 'Nguyễn Hồng Thắm thấy Hải cô thấy ko lo làm bt toàn dọn nhà thờ', 'Điết điết ngang', 'éccccc', 'Nay m4 rồi Đinh Thị Hồng Phượng', 'Bùi Ngọc Tĩnh', 'Hoà Trần chúc mừng bạn sắp gặp được mình', 'Nguyễn Thị Vân Anh mình đội ơn bạn', 'Nguyễn Thị Vân Anh out nhóm', 'Cao Thị Thanh Tâm nào bạn vô rồi nói chuyện hi']",24308,"Thứ Hai, 12 Tháng 2, 2024 lúc 20:00",12
"['Ăn trong vô thức', '0:05 / 0:11']","['Tất cả, 708', 'Thích, 422', 'Haha, 270', 'Buồn, 9', 'Yêu thích, 5', 'Thương thương, 1', 'Phẫn nộ, 1']","['Mẹ đã cất :)))', 'Trúc Trúc kk', 'Thannh Duyênn ăn trc thử xem có ngon k để còn mời khách chớ bà', 'Đỗ Khoa Thi', 'Tom Mayy múc bang', 'Lê Thanh Huyền:))', 'Thảo :))', 'hi', 'Koi Comthiu', 'Tại. Mẹ k dấu kỹ â', 'Quân Hồng', 'Nguyên Phương Trầnđó là một câu chuyện buồn', 'Nguyên Phương Trần Quân Hồng bò khô :))))', 'Nguyễn Hoàng Hồng Ngọc :))) có nghe', 'Ngoc Thúy ăn quá ăn xong mẹ chửi =)))', '', 'Lê Thị Thu Trang ê trừa khi mô bọn t về còn có cấy để ăn nghe mi :))', 'Bảo Nguyễn hết r', 'Lê Vi chiều mới bị chửi xong :))', '', 'T vs e t hốc hết nửa bịch bỏng\ncủa mẹ r :)))', 'Ngọc Ngân giòn', 'Trần Kim Oanh ăn với', 'Ngọc Ngân gì có mà ăn', 'Nhoàm nhoàmmmmm', 'My Tam rọ cái mõm lại', 'Mẹ t cất hết t mò kh được', 'Thảo Vy chắc mẹ hong biết đâu he =))))', 'Nguyễn Thảo biết thì mua thêm chứ sao nựa :>', '30 r vẫn chx có bánh kẹo', 'Huong Tran', 'Nguyễn Vũ Phong ăn trong vô thức', 'Huỳnh Như nhai nhai', 'Khoa Lê đó đó', 'Bạn nào mà bị lừa tiền Làm nhiệm vụ telegram, Shoppi... Các sàn điện tử không rút ra được. Muốn lấy lại nhắn tin riêng cho mình. Mình chỉ cách lấy lại tiền ( Trước mình cũng từng bị lừa nên mình chỉ muốn giúp người đồng cảnh ngộ, ai không thích có thể bỏ qua xin đừng gạch đá)', 'Bạn nào mà bị lừa tiền Làm nhiệm vụ telegram, Shoppi... Các sàn điện tử không rút ra được. Muốn lấy lại nhắn tin riêng cho mình. Mình chỉ cách lấy lại tiền ( Trước mình cũng từng bị lừa nên mình chỉ muốn giúp người đồng cảnh ngộ, ai không thích có thể bỏ qua xin đừng gạch đá)', 'Anh chị nào mà bị lừa tiền qua mạng và đầu tư các sàn điện tử mà không rút tiền ra được, muốn lấy lại số tiền đã mất thì nhắn tin riêng em, em chỉ cho cách lấy lại. Trước em cũng bị lừa và em đã lấy lại được số tiền đã mất của mình .', 'Anh chị nào mà bị lừa tiền qua mạng, Làm nhiệm vụ telegram, Shoppe... Các sàn điện tử không rút ra được. Muốn lấy lại nhắn tin cho mình. Mình chỉ cách thu hồi lại tiền bị lừa ( Trước mình cũng từng bị lừa nên mình chỉ muốn giúp người đồng cảnh ngộ, ai không thích có thể bỏ qua )', 'Anh chị nào mà bị lừa tiền Làm nhiệm vụ telegram, Shoppi... Các sàn điện tử không rút ra được. Muốn lấy lại nhắn tin cho em. Em chỉ cách lấy lại tiền ( Trước em cũng từng bị lừa nên em chỉ muốn giúp người đồng cảnh ngộ, ai không thích có thể bỏ qua xin đừng gạch đá)', 'Cao Lê Phương Thảo kakakakakaka', 'Cao Thị Thuỳ Trang chi má, mình ăn hết mà', 'Tui ăn hết cả gói luôn rồi, mẹ biết rồi nhưng đã quá trễ :))', 'bị đánh nát người nhưng vẫn ráng ăn']",25033,"Thứ Ba, 6 Tháng 2, 2024 lúc 19:35",43
['Ơ kìa elm '],"['Tất cả, 102', 'Haha, 57', 'Thích, 42', 'Buồn, 3']","['Mất dạy thế này chỉ có Lê Ngọc Cường thôi', 'Chắc con em tui rồi :))) Thyy Châu', 'Thật ra ngành nào cũng nhìu Deadline hết á :vv']",25884,"Chủ Nhật, 4 Tháng 2, 2024 lúc 20:00",3
[],[],[],26852,
['Có ai nghe tiếng pháo hoa đoạn gần trường không??'],"['Tất cả, 56', 'Thích, 43', 'Haha, 12', 'Yêu thích, 1']","['Vãi nho lun', 'T phân vân nên ngó ra cửa sổ xem hay đi ngủ, cuối cùng t chọn....', 'Bít ai đốt lun', 'Hoàng Lê Trà My ai thế', 'Đỗ Viết Dũng =))) b cũng bít mà']",27562,"Thứ Năm, 1 Tháng 2, 2024 lúc 22:54",5
"['49K của tôi ơi, nghe nói điểm đang bắt đầu nhảy đấy ']","['Tất cả, 260', 'Thích, 130', 'Buồn, 75', 'Haha, 38', 'Yêu thích, 15', 'Thương thương, 2']","['Hồ Như', 'Thanh Phương tưởng trường thương để sau Tết', 'Hồ Như quà Tết trường tặng á', 'Thanh Phương quà ni ngó bộ khét quá', 'Hồ Như ổn hong em', 'Dương Ngọc Duyên chưa có bẹn\n, thôi trg quên luôn đi cũng được', 'Hồ Như ngủ đi gòi mơ em', 'Đỗ T. Hiên sau tết kìa e', 'Ngọc Bích có thoii đi không', 'Nam mô', 'Hoài Thương nam mô diii', 'Mai Thị Kim Thoa ô vờ 9 nựa à', 'Võ Thị Hiền Lương còn nhớ những năm nèo', 'Nguyễn Cẩm Tú phải 1 lần giựt hb', 'Võ Thị Hiền Lương để mình nằm mơ cho', 'Gia Bảo Trương nhảy chưa ạ:(((', 'Phúc Nguyên nhảy về Mo rồi ạ :((', 'Gia Bảo Trương nhảy đau tim ác:(((', 'Thảo NhiNguyễn Thị Thùy LinhThư NguyễnKim HằngTrần Thị Hoài LinhThu Ngọc ổn không các em ??!', 'Bùi Hoàng Dũng vị của mồ hôi và nc mắt:))', 'Tui để bảng điểm đây, mn canh giúp tui vớii', 'Luong Luu nếm đi xem vị j']",28233,"Thứ Ba, 30 Tháng 1, 2024 lúc 20:00",22
[],[],[],29199,
['Tầm cỡ 29 30 ngày nữa thui nà '],"['Tất cả, 195', 'Haha, 107', 'Thích, 82', 'Buồn, 5', 'Wow, 1']","['Lê Bảo Trâm đừng buồn nha', 'Khánh đi luôn 10 năm đc ko cậu', 'vô ngĩa nhỉp', '116 oiiii', 'Đỗ Hoàng Anh Tạm bịt.', 'Lann Anhh ngày Hoàng tới cũng là ngày toiec tới', 'Đỗ Hoàng Anh Xin mù 3 giây.', 'Quỳnh Phạm 20ng nữa chớ nhiu', 'Kim Dung chờ miếng', 'Uyên Lê Thư :((', 'Linh Thư chưa chi mà nhớ t rồi hà', 'Linh Thư quả là biết cách thao túng', 'Đức Nhân nha nha', 'Mik cũng thế', '=)))', 'Nguyễn Thị Bích Trâm đừng nhớ anh nha', 'Nhi Bùi hzzz bạn lại bỏ t về trước như các lễ khác', 'Nguyễn Thị Bích Trâm anh về nhưng em nhớ anh mà', 'Hà Hà đừng nhớ bạn mà bệnh ra nha', 'Thanh Thảo Hà Thị Thanh Thảo hai chuỵ thấyy saoo ạ', 'Thoa Trương m khoải đi, dề huê một phát mất tăm', 'Hà Thị Thanh Thảo hí hí, em ở vùng đất thiếu sóng của 2 chuỵ nên zậy á', 'Bi Kim', 'Phạm Thương Nguyễn Phương Thanhh buồn hông Phương Thảo', 'Do Thi Thanh Hau chắc sẽ nhớ t lắm đây', 'Nguyễn Thị Thanh háo hức quá', ""Nay H'Ru"", 'Tran Thi Thu Trang ko có buồn nge', 'Nhu Quynh cũng muốn được xách vali về quê', 'Tran Thi Thu Trang soạn đồ đi xách vali lên trường cái về lại đất nước hòa vang', '@chi', 'Phương Chi', 'Trần Phương xin lỗi vì những lời hứaaaa', 'Hoàng Linh bạn ấy vô cảm xúc nhaaa', 'Nhy Nhy đã từng 1 thời', 'Tran Phuoc Anh ráng đi làm kiếm xiền lì xì tui nha bà', 'Thanh Kha kiếm tiền đi cúng chớ bà', 'Tran Phuoc Anh má =))) bớt giùm\nTui bỏ rồi', 'Thanh Kha bỏ mãi mãi hà', 'Tran Phuoc Anh hok', 'Thanh Kha nín dùm', 'Ngọc Thạch Ngọc Trâm Hồng Hậu năm sau gặp lại', 'Trần Thị Thanh Thuý nhớ nhau rồi', 'Ngọc Trâm suyyy hoy', 'Trần Thị Thanh Thuý Ăn Tết dzui dẻ', 'Vân Khánh lẹ', 'Bé Hằng Cung Trăng có ko giữ mất đừng tiếc', 'Hải Phương Trương Mỹ Tâm Nguyễn Thị Yến Nhi đừng nhớ tôi nhé', 'Hai Nhu em sẽ nhớ anh lém', 'Hai Nhu t chôm vé xe hok cho m dề chừ', 'buồn thì cũng buồn chút thôi, mưa nào mà hông ướt :vv']",29889,"Thứ bảy, 27 Tháng 1, 2024 lúc 20:00",51
['Đoán xem ai mới ngày đầu về quê ngủ tới 9h bị mẹ la nào? '],"['Tất cả, 233', 'Haha, 123', 'Thích, 87', 'Buồn, 22', 'Yêu thích, 1']","['6h mẹ đã la ròi tới 9h chắc ăn đòn qué', 'May quá 10h mí dậy :vv', 'Nguyễn Khánh An 10h đêm đi ngủ ah', 'Tran Thuy Linh tầm 1h sáng hoi', 'K mấy cho ra lại đc k chứ ở nhà mẹ la quá đi', 'Lệ Huyền hay z lắm', 'Lệ Huyền về ở vs tao nè', 'Nguyễn Đặng Thảo Vy để t bắt xe vào ở vs mi kkk', 'Lệ Huyền để nghe mẹ t la chung', 'Châu Phụng', 'Nhunn Lê 7h dậy nha ní', '7h mẹ dô mơ tung cửa sổ đón ánh mặt trời rồi', 'Trần Hoàng Lan Anh khum về quê nhma mới bị la xongg', 'M đúng ko Xuân Lộc', 'Vy Nguyen dậy sáng h r m', 'Kim Thoi về quê sớm cũng đừng mừng vội :))', 'Nguyễn Bảo Xuân Mai zề quê 6h là phải dậy rồi', 'elm đây', 'Thư Nguyễn . . . .', 'Viết Hoan về 2 ngày đều thức dậy vào 7h\nMadomekeuday:)))']",30695,"Thứ bảy, 27 Tháng 1, 2024 lúc 09:00",20
['Còn ai chưa về bước lên nhận giải đi nà '],"['Tất cả, 504', 'Haha, 221', 'Thích, 205', 'Buồn, 73', 'Yêu thích, 4', 'Thương thương, 1']","['Nguyễn Duyên', 'Chế Nguyệt Phượng :))', 'Vân Anh chúc mừng bạn', 'Nguyễn Thị Sương áccc', 'Trần Khương Trọng trao thưởng nì', 'N.V. Hưng Vinh dự quá', 'Cao Huyền về chùi dép trước đi', 'Linh Đen', 'Nguyễn Ngọc Thuận chúng ta', 'Le Viet Bang Tram ko ai khác ngoài em', 'hihi', '28 âm', 'Phạm Thị Linh mau đi', 'Nguyễn Ngọc Mỹ tự hào quạaaa', ':))', 'Linh Chi haha', 'Nguyễn Thu Hà về trễ nhưng hông có lúa vì là bỉ ngạn nâu', 'Linh Chi hahaa, chếc cười', 'Mỹ Tình', 'Thanh Thanh', 'Thu Lợi nhận giải nè', 'Hoàng Thảo Nguyên mãi iu khoa điện', 'Mai đi nhận ne', 'JuLyy NiêNêm Ayun', 'Nguyễn Huyềnn', 'Thư H Lê chính em', 'T làm tới ngày 29 nha', 'Nguyễn Quang Định', 'Hiền Minh up crown cho m nè,kkk', 'Diễm Miuly thôi nặng quá ko dám nhận', ':))))', 'Nguyễn Trà Giang chắc t nhận giải về sớm nhất', 'Thùy Linhh khéo sớm nhất trường :))', 'Nguyễn Trà Giang chắc là vậy', 'Tuyết Ánh', 'Nguyễn Công Thịnh ba nữa thây', 'Nguyễn Trần Trung Hiếu ai', 'Phan Xuân Trí đại ca ạ', 'Lê T.Hiền chắc chắn là b xứng đáng', 'Pham Hai An Vinh dự qué haha', 'Phương Thảo Trần Trang Hải Uyên', 'Đinh Lê Diểm Quỳnh', 'Do Tnhàn gào thét', 'Ðào Thị Hương Giang nhóm trưởng lên nhận giải đi', 'Trần Thùy Duyên nhờ chức danh đó chứ k giờ này tôi đã được an yên ở quê r', 'Ngô Dương', 'Ngọc Huyền hiccc', 'Nguyễn Luân', 'Thảo Nguyên đeo dùm cái huy chương', 'Thảo Nguyên ko ngầu nhưng hài', 'Nguyễn Bảo Xuân Mai zô nhận giải kìa', 'Diem Quynh nhận giải đê', 'Phuong Thao Le Ngoc Chinh', 'Đặng Tuấn mai lên trường nhận vs t nhé:))', 'Nguyễn Hùng Vĩ oke mai hai ae mìh đi', 'Ly Kim', 'Vân Giang nhận giải chưa', 'Nguyễn Quỳnh xin nhận', 'Thùy Trang', 'Nguyễn Vũ Quỳnh Như', 'Trần Thị Tài', 'Nguyễn Kim Quý t coa về âu m', 'Trần Thị Tài về chứ', 'Nguyễn Kim Quý en tết ngoài dok m ơi', 'Phan Hồng Hiệp chúc mừng bạnnn', 'Trần Thị Lan giải nhất', 'Bùi Phương Nam về lẹ nhận giải coiii v:', 'Nguyễn Trung Kiên giải thể', 'Nguyễn Ngọc Trinh bye', 'Phan Thị Thảo Ngân ý là chứng nhận ở quê nhưng nghỉ làm muộn nhất cũng có', 'Nguyễn Ngọc Trinh + đi làm sớm nhất', 'Kim Quí chúc mừng tổng tài nha', 'Xem thêm bình luận', '50/107', 'Nguyễn Thị Ngọc Hân 29 mới về 29 ngta ăn tết xong hết r bà', '28 tết', 'Nguyễn Khánh Linh kh ai =', '29 ms về', 'Yến Linh']",31547,"Thứ Năm, 25 Tháng 1, 2024 lúc 20:25",79
[],[],[],32273,
[],[],[],33056,
['Do cốc bia chứ không phải do tôi'],"['Tất cả, 261', 'Haha, 167', 'Thích, 90', 'Buồn, 3', 'Yêu thích, 1']","['Lốc 6 Lon Nước Giải Khát Coca-Cola vị Nguyên Bản Original Lon 320ml | Shopee Việt Nam', 'Lí do to hơn mục đích', 'Châu Dương', 'đồ khum nghị lực', 'Đáng yêu', 'Hồng Yếnn', 'Trương Thị Chúc hay lắm nha', 'Quang Anh', 'Nguyễn Hữu Ái Quốc', 'CB Đạtt', 'huhu', 'Nguyễn Ngọc Thanh Phương', 'Bảo Long đáng iu quá mà', 'Hồ Thị Tâm Sự Lan Em Nguyễn Thị Đoan Quỳnh nó đang mỉm cười vs mình kìa', 'Gia Ngoc ngày mai c đi chợ đừng có mua biaaa nhé', 'Ông Lì 6 ngày 6 đêm', 'Uyên Như Nguyễn Ngọc Hạnh Ngân HT ce mk bỏ rồi mà nhỉ', 'Phạm Thoan bỏ thêm bữa nữa cũng ko sao', 'Nguyễn Ngọc Hạnh hahah .e là bỏ thật rồi á', 'Tết này uống bia nguy hiểm nên mình order Coca về bỏ tủ nhé https://shope.ee/5pjKhI2BNV']",34176,"Thứ Ba, 23 Tháng 1, 2024 lúc 09:34",20
['Full A dễ lấy\nPhải đâu chuyện đùa '],"['Tất cả, 244', 'Haha, 150', 'Thích, 75', 'Buồn, 16', 'Yêu thích, 2', 'Wow, 1']","['Dễ đúng ko Kanh An :))))', 'Quang Nguyễn dễ ăn dép từ KA', 'Kanh An nhỏ này láo :)))', 'Quang Nguyễn anh nào em nấy . quả không sai', 'Huyen Dieu chờ điểm nhảy hihi', 'Nguyễn Phát m nè phải hong', 'Tới khúc điểm nhảy không biết còn tự tin như zay hong nữa :33', 'Em nhảy 0.18 là sao ạ huhu', 'Trần Thị Hương Điểm tphan của bạn 10 10 nên nó tự nhảy á', 'DUE Troll dạ chỉ có 10 9.8 thôi chứ không có 10 10 ạ', 'Như Phương xin phép k coi ạ']",35124,"Thứ Hai, 22 Tháng 1, 2024 lúc 20:46",11
['0:05 / 0:31'],"['Tất cả, 8238', 'Thích, 4,2K', 'Haha, 3,3K', 'Buồn, 583', 'Yêu thích, 57', 'Wow, 11', 'Thương thương, 2', 'Phẫn nộ, 1']","['Gia Như :))))', 'Tu Cat Ha', 'Quin Nguyễn sợ', 'Nhựt Linh Nguyễn', 'Trọng Nghĩa kiểu 1 3 chính là meeeeee', 'Ánh Ngọcc kiểu nào:))', 'Thùy Lynh làm chủ kiến thức trong một đêm', 'Cẩm Tú', 'Sao tao nghe tiếng cười của chồng tao đâu đó dị bây', 'Quỳnh Trang ngủ quên tầm chục lần', 'Đặng Phúc =)))))', 'Đỗ Hải Yến đm cayy', 'Trần Ngân', 'Hà MỹHà Ly', 'Phuong Anhh chính m', 'Nguyen Ngmy sao sao biet hay vay', 'Phuong Anhh tr s lai k bt dc', 'Như thật :((', 'Mộ Dung Thiên Tuệ', 'Hai Yen', 'Nam Minh trí kốt', 'Ngo Minh mưu hèn kế bẩn :))))', 'Nam Minh tất cả đều chỉ để qua môn thoi =))', 'Linh Anhh m kiểu 2 đk=))', 'Đặng ôn bài nên ngủ thôi à mắ', 'Sao mà đúng quá thể z kè', 'Nguyễn Hương', 'Kiểu 2 nhé, ngủ quên đếch đi thi', 'Thanh Thuý Thuy Trangg Nguyễn Nhàn Đào Hiền Lê Việt Đức Thanh Thủy Gia Huy Trần Thanh Huyền', 'Nguyen Van Anh :))))', 'Hương Phạm haizz', 'Won Myeong Joo', 'Ken Nguyen huh', 'Won Myeong Joo huh', 'm :)))', 'Vũ Lan Anh t kiểu 1', 'Lê Xuân =)))', 'Phạm Thị Thúy Quỳnh', 'Tram Anh', 'Diệu Ly', 'Nguyễn Lê', 'Kim Thảo', 'Kim Thư Lê', 'Băng Bùi phao đâu r', 'Hồng Nhã anh thuộc top đọc đề hong hiểu', 'Nguyen Phuong Anh :))', 'Bạc Hà truyền thái y:v', 'Thảo My kiểu kiểu z nè', 'Khải Ninh', 'Đoàn Thị Lê Thành :))', ':))', 'Phạm Vy', 'Lê Thị Bảo Trâm', 'Hoàng Nguyên Thảo Uyên Thúy Hà Thương Nguyễn Hồng Trinh sự thật kkk', 'Giang chuẩn', 'Nguyễn Lê Minh Phương thân gửi em :)))', 'Lê Thị Nhật Linh lấy gốc trong một đêm', 'Đỗ Nguyễn Như Ngân may cũng ngủ quên mà đc bạn cú', 'Yuyi Lyinh', 'T', 'Chắc học nhầm đề', 'Hương Phối', 'Nguyễn Tường Vy Thảo Nguyên hai bạn xem phải 2 bạn không', 'Chiêu Hiền gud lứt', 'Chieu Anh hép mi', 'Xem thêm bình luận', '50/81', 'Lanh Lê t thấy có m tỏng này á']",36204,"Thứ bảy, 20 Tháng 1, 2024 lúc 20:15",68
